CUSTOM_ID,SR_ID
ID-000356,AA00000029319
ID-000356,AA00000029318
ID-000356,AA00000029317
ID-000356,AA00000029316
ID-003777,AA00000029315
ID-003777,AA00000029314
ID-004535,AA00000029313
ID-004535,AA00000029312
ID-004535,AA00000029311
ID-004535,AA00000029310
ID-004535,AA00000029309
ID-004535,AA00000029308
ID-004535,AA00000029307
ID-002634,AA00000029306
ID-003518,AA00000029305
ID-003518,AA00000029304
ID-000056,AA00000029303
ID-000056,AA00000029302
ID-000056,AA00000029301
ID-000056,AA00000029300
ID-000056,AA00000029299
ID-000056,AA00000029298
ID-000056,AA00000029297
ID-000056,AA00000029296
ID-000056,AA00000029295
ID-000056,AA00000029294
ID-000056,AA00000029293
ID-000056,AA00000029292
ID-000056,AA00000029291
ID-000056,AA00000029290
ID-000056,AA00000029289
ID-000056,AA00000029288
ID-000056,AA00000029287
ID-000352,AA00000029286
ID-000352,AA00000029285
ID-000352,AA00000029284
ID-000352,AA00000029283
ID-000352,AA00000029282
ID-000352,AA00000029281
ID-005278,AA00000029280
ID-003985,AA00000029279
ID-003985,AA00000029278
ID-003985,AA00000029277
ID-005895,AA00000029276
ID-005515,AA00000029275
ID-004848,AA00000029274
ID-001130,AA00000029273
ID-001130,AA00000029272
ID-001130,AA00000029271
ID-001130,AA00000029270
ID-001130,AA00000029269
ID-001130,AA00000029268
ID-001130,AA00000029267
ID-001130,AA00000029266
ID-001130,AA00000029265
ID-001130,AA00000029264
ID-001130,AA00000029263
ID-001130,AA00000029262
ID-004776,AA00000029261
ID-004776,AA00000029260
ID-004415,AA00000029259
ID-004415,AA00000029258
ID-005214,AA00000029257
ID-005214,AA00000029256
ID-004836,AA00000029255
ID-004118,AA00000029254
ID-004118,AA00000029253
ID-000647,AA00000029252
ID-000647,AA00000029251
ID-000647,AA00000029250
ID-000647,AA00000029249
ID-000647,AA00000029248
ID-000647,AA00000029247
ID-000647,AA00000029246
ID-000647,AA00000029245
ID-000647,AA00000029244
ID-000647,AA00000029243
ID-000647,AA00000029242
ID-000647,AA00000029241
ID-000647,AA00000029240
ID-000647,AA00000029239
ID-000647,AA00000029238
ID-000647,AA00000029237
ID-000647,AA00000029236
ID-000978,AA00000029235
ID-000978,AA00000029234
ID-000978,AA00000029233
ID-002339,AA00000029232
ID-002339,AA00000029231
ID-002339,AA00000029230
ID-005303,AA00000029229
ID-000768,AA00000029228
ID-000768,AA00000029227
ID-000768,AA00000029226
ID-000768,AA00000029225
ID-000768,AA00000029224
ID-000768,AA00000029223
ID-000768,AA00000029222
ID-000768,AA00000029221
ID-000768,AA00000029220
ID-000768,AA00000029219
ID-000768,AA00000029218
ID-000768,AA00000029217
ID-000768,AA00000029216
ID-000768,AA00000029215
ID-000768,AA00000029214
ID-000768,AA00000029213
ID-000768,AA00000029212
ID-000768,AA00000029211
ID-000768,AA00000029210
ID-000768,AA00000029209
ID-000768,AA00000029208
ID-000768,AA00000029207
ID-000768,AA00000029206
ID-000768,AA00000029205
ID-003345,AA00000029204
